date,city,trips,users,subscribers,occasional_users,new_subscribers,total_subscribers,bikes_available,bikes_in_maintenance,bike_maintenance_cost,stations,station_maintenance_cost,trips_per_user,trips_per_bike,trips_per_1k_residents,avg_trip_duration,avg_trip_distance,saved_CO2,daily_subcribers_revenue,daily_occasional_users_revenue,daily_revenue,daily_operational_expenses,daily_operating_income
2020-01-01,Toulon,574,152,114,37,2,457,260,2,67,43,538,3,2.1989371899325074,3.5022303921303877,13.82585444813111,3.133260844882477,118.60227761520765,150.97668358898386,330.31784478219004,481.2945283711739,605.9886937600061,-124.69416538883218
2020-01-02,Toulon,518,151,114,36,2,459,261,1,60,43,0,3,1.9826377207253998,3.1603094737080495,17.552925919163254,4.067331561301833,138.9283746876162,151.5753095322309,364.61625686953033,516.1915664017613,60.98788556051976,455.2036808412415
2020-01-03,Toulon,516,219,169,50,3,461,261,1,60,43,0,2,1.9761766506197376,3.150087385577438,17.485120878731834,3.9844756229470444,135.65804090085948,152.40827870209122,362.0333924486424,514.4416711507337,60.79061894904205,453.65105220169164
2020-01-04,Toulon,710,269,165,105,5,467,260,2,83,43,826,2,2.726170652299431,4.333336116785613,12.571668633128333,2.9966396040400136,140.34878479637015,154.1327161731444,623.9017624196613,778.0344785928057,910.1605754576726,-132.1260968648669
2020-01-05,Toulon,779,282,169,113,6,472,260,2,91,43,0,2,2.997476727422194,4.759726193173861,13.387872956847358,3.087183868190753,158.8167234055222,155.99307924611927,739.0544835946118,895.0475628407311,91.85354750340264,803.1940153373284
2020-01-06,Toulon,538,207,154,53,3,475,260,2,63,43,0,2,2.0605170523796175,3.283483509685668,12.984544260513271,3.123526480755763,110.84900441874667,156.86827084799927,321.18363989479604,478.0519107427953,63.36490720119351,414.6870035416018
2020-01-07,Toulon,515,175,134,41,2,477,261,1,60,43,0,2,1.9741066505403464,3.146812323683445,17.86427151289243,4.381456983978174,149.0188335973275,157.53787153075942,361.0035843361952,518.5414558669546,60.72741656280229,457.8140393041523
2020-01-08,Toulon,534,176,131,44,2,479,260,2,62,43,600,3,2.0447946780678037,3.2586228168783116,10.545102750403377,2.399305970015925,84.50287674325253,158.27082486319344,257.6603264024835,415.93115126567693,663.0702079091454,-247.1390566434685
2020-01-09,Toulon,632,172,126,46,2,481,260,2,74,43,0,3,2.4252170233512436,3.859331588993435,13.64818024002222,3.2690086318197022,136.35778149306324,159.02648059050233,390.85416703212616,549.8806476226284,74.477665952589,475.4029816700394
2020-01-10,Toulon,558,262,197,65,3,485,260,2,65,43,0,2,2.1402514195400895,3.4095165064553656,14.976287438808322,3.495716714106986,128.81925808063187,160.10578115659047,378.2770010387401,538.3827821953305,65.79710127832008,472.5856809170104
2020-01-11,Toulon,736,201,121,80,4,489,260,2,86,43,635,3,2.8276835107981415,4.4929776673360715,14.333754866527174,3.4417496597260584,167.13419089083453,161.4286112371672,710.7009673184515,872.1295785556187,721.7190003273937,150.41057822822495
2020-01-12,Toulon,649,236,142,94,5,493,260,2,76,43,0,2,2.4910873547419534,3.9631697855645815,12.852084413968464,2.8933275437933816,123.93445032021874,162.98074448737972,593.466691339015,756.4474358263948,76.4815431367628,679.965892689632
2020-01-13,Toulon,614,146,110,36,2,495,260,2,72,43,0,4,2.3547859974446785,3.7482468691571778,14.112244638741595,3.101576552322228,125.64998957103535,163.57927193935558,359.3668866697408,522.9461586090963,72.33394482740849,450.61221378168784
2020-01-14,Toulon,528,149,111,38,2,497,260,2,62,43,0,3,2.022393924429017,3.2231969738781903,16.994863575838536,3.8850288200916197,135.34208313176035,164.20333368046823,379.14931645660397,543.3526501370723,62.2014931820112,481.1511569550611
2020-01-15,Toulon,583,147,110,37,2,499,260,2,68,43,0,3,2.237052261559648,3.5624239735786363,12.794214137129993,3.035792079556361,116.88785620894798,164.80930360475114,316.1722981722917,480.9816017770428,68.74792086856773,412.23368090847504
2020-01-16,Toulon,543,235,179,56,3,502,260,2,64,43,974,2,2.082604792499129,3.3184043293836165,13.367302971088598,3.1341608307004667,112.40932636049037,165.7396768656881,317.31649872125814,483.0561755869462,1038.7331537402747,-555.6769781533285
2020-01-17,Toulon,591,238,176,62,3,505,260,2,69,43,0,2,2.265722158005386,3.607689774980974,15.227831769521565,3.6179195989831276,141.07168770010938,166.7601326688957,412.31291268840823,579.073045357304,69.62146364616534,509.4515817111386
2020-01-18,Toulon,714,219,134,85,4,509,260,2,84,43,0,3,2.7427491973512863,4.359416266310766,13.845886824455693,3.1597011579943888,148.8764878817091,168.1601051689172,659.8902679948299,828.050373163747,84.1283369784913,743.9220361852557
2020-01-19,Toulon,742,253,149,104,5,514,260,2,87,43,0,2,2.853047913345272,4.532847297069902,14.730008439760715,3.577343088527704,175.26025834245272,169.8822612166504,779.9846445331423,949.8669057497926,87.47522181511168,862.3916839346809
2020-01-20,Toulon,508,137,104,33,2,516,261,1,59,43,0,3,1.9461919322163195,3.10264190180143,16.336766365077903,3.764490484601021,126.23785960360199,170.4267887473083,331.8562552004302,502.2830439477385,59.87501250006363,442.4080314476749
2020-01-21,Toulon,598,210,157,53,3,519,260,2,70,43,0,2,2.2938156864903796,3.6520360805256638,16.28768094462641,3.732728972504903,147.3374951900762,171.29966983664443,421.55276352578915,592.8524333624335,70.47726192481241,522.3751714376211
2020-01-22,Toulon,516,171,127,45,2,521,261,1,60,43,0,3,1.9765820984443903,3.1507288610675244,13.26984425238194,3.1620325465942227,107.6785334960302,172.0364122658437,312.1802753735649,484.2166876394086,60.802998190412154,423.4136894489964
2020-01-23,Toulon,489,160,120,40,2,523,261,1,57,43,381,3,1.8710450575414757,2.9836881423558452,14.818587090278712,3.4651664953610886,111.74530882743186,172.7039797258565,315.02502470081185,487.7290044266683,439.09920777336964,48.62979665329868
2020-01-24,Toulon,464,154,118,35,2,525,261,1,54,43,0,3,1.7771305968154245,2.8349313077590237,17.432339979519764,3.876353315678984,118.77298187943792,173.28758882808592,314.8955891768233,488.1831780049092,54.708713690206835,433.4744643147024
2020-01-25,Toulon,813,192,113,79,4,529,259,3,95,43,0,4,3.127109739065537,4.963153098460149,15.664355179824764,3.6145655549738227,193.8945236051885,174.58730002487525,861.6177461202287,1036.205046145104,95.77929494135023,940.4257512037537
2020-01-26,Toulon,718,294,176,118,6,534,260,2,84,43,0,2,2.7586852338709655,4.3844826014521345,15.045441075906165,3.3788275317278664,160.11651927251108,176.529080231686,766.7933292440458,943.3224094757318,84.61206896478622,858.7103405109456
2020-01-27,Toulon,575,203,154,49,2,537,260,2,67,43,0,2,2.206293378617692,3.5138490689345527,16.066106665863472,3.6721258295688033,139.4608869089676,177.33861288792434,383.4578024964122,560.7964153843366,67.81051877228803,492.9858966120485
2020-01-28,Toulon,589,337,250,87,4,541,260,2,69,43,0,1,2.259713496109589,3.5982037393183246,15.973635794848372,3.9624102155569587,154.09798163028125,178.76800055030216,449.4522213267972,628.2202218770993,69.43840142955975,558.7818204475395
2020-01-29,Toulon,553,225,171,54,3,544,260,2,65,43,0,2,2.121186696931526,3.3793885407913193,15.180630550612744,3.372153379091023,123.1678079231167,179.65132955395757,354.02826121180425,533.6795907657618,65.21568957248033,468.46390119328146
2020-01-30,Toulon,426,151,114,37,2,546,261,1,50,43,669,2,1.6285729863696883,2.5994062523094956,16.959325827710373,3.682065472569556,103.4468881782786,180.2570069942176,300.04256870851003,480.2995757027276,719.3340765852332,-239.0345008825056
2020-01-31,Toulon,508,155,114,40,2,548,261,1,59,43,0,3,1.9475251202757666,3.104751662909725,15.526726129440101,3.5583599882701993,119.406650425365,180.92382595263675,349.86323376773373,530.7870597203705,59.915726825702684,470.87133289466783
2020-02-01,Toulon,706,201,119,83,4,552,260,2,83,43,413,3,2.710159421013199,4.308145334301379,9.273691311625381,2.096512027548079,97.62014966635006,182.2869207277894,485.6557459816312,667.9426667094206,496.9687970165023,170.97386969291824
2020-02-02,Toulon,757,340,202,138,7,559,260,2,89,43,0,2,2.909470599220833,4.621509337682934,14.796126152894317,3.356116271107267,167.63804923404794,184.565556343043,819.6150284419483,1004.1805847849913,89.18622842109613,914.9943563638951
2020-02-03,Toulon,620,245,178,67,3,562,260,2,73,43,0,2,2.38048465558761,3.7887859553684406,14.154212621174182,3.257184580938147,133.3810728240373,185.6758475152949,428.5383807345986,614.2142282498935,73.11627110625854,541.097957143635
2020-02-04,Toulon,613,212,157,55,3,565,260,2,72,43,0,2,2.3501162446263613,3.7408795904210783,17.229677667176905,3.904041488478706,157.84830366445203,186.57838277901809,462.88450242060856,649.4628851996266,72.19177053840683,577.2711146612198
2020-02-05,Toulon,625,265,194,71,4,568,260,2,73,43,0,2,2.3998276549440964,3.819293946662479,15.706598529262024,3.5031805287471776,144.6096809827976,187.75071118367933,465.8299779438761,653.5806891275554,73.70501657476451,579.8756725527909
2020-02-06,Toulon,531,199,149,50,2,571,260,2,62,43,0,2,2.0332215814881796,3.2403212025895787,15.43389316825324,3.720206090253215,130.28872290770957,188.5740792636112,358.5627662410663,547.1368455046775,62.531957812026356,484.6048876926511
2020-02-07,Toulon,574,211,156,55,3,574,260,2,67,43,0,2,2.2024429430316754,3.507767607846662,14.410666641775222,3.363025425569772,127.5007470106083,189.48575326755832,380.0559715038421,569.5417247714004,67.69315828719799,501.84856648420237
2020-02-08,Toulon,692,192,115,77,4,578,260,2,81,43,0,3,2.6579919929310205,4.22604823811343,19.015718761018547,4.5436056317948506,207.5328472212834,190.75709770944817,870.6864667524239,1061.443564461872,81.5545909233027,979.8889735385693
2020-02-09,Toulon,736,429,253,176,9,586,260,2,86,43,0,1,2.8266466928112033,4.4913477588569295,16.10565927284549,3.7422354759392604,181.66010459041735,193.65295878526447,903.0309800011895,1096.683938786454,86.67436066261907,1010.009578123835
2020-02-10,Toulon,543,152,112,40,2,588,260,2,64,43,0,3,2.082027130355385,3.317491116960488,15.821593869339063,3.8251480181943167,137.15441091102429,194.31115794891275,378.3654623155131,572.6766202644259,64.02118851728574,508.65543174714014
2020-02-11,Toulon,634,269,200,70,3,592,260,2,74,43,0,2,2.4323166097992672,3.870525877327743,12.740850862935956,2.9275099259466377,122.46729256857509,195.45839317804428,382.27818147778146,577.7365746558257,74.69369415537864,503.0428805004471
